2024-02-12 02:23:50.574 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 02:24:10.461 [cluster-ClusterId{value='65c933ed4afadc23a8ec780e', description='null'}-ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-5tqidyh-shard-00-02.c9eictd.mongodb.net:27017 with max election id 7fffffff000000000000000c and max set version 2
2024-02-12 02:24:15.158 [main] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-02-12 02:24:15.541 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-12 02:24:15.673 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2024-02-12 02:24:15.868 [main] INFO  com.prakarti.Blog.project.BlogProjectApplication - Started BlogProjectApplication in 27.707 seconds (process running for 31.786)
2024-02-12 02:24:35.898 [http-nio-8080-exec-3] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-12 02:24:35.899 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-12 02:24:35.901 [http-nio-8080-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-02-12 02:24:36.211 [http-nio-8080-exec-3] INFO  com.prakarti.Blog.project.controller.BlogController - Create Blog request received: CreateBlogRequest(userId=string, title=string, description=string, publish=true)
2024-02-12 02:24:36.859 [http-nio-8080-exec-3] INFO  com.prakarti.Blog.project.controller.BlogController - Blog created Successfully: {} , createdBlog
2024-02-12 02:25:04.838 [http-nio-8080-exec-2] INFO  com.prakarti.Blog.project.controller.BlogController - Get Blog request received: 65c9340c4afadc23a8ec780f
2024-02-12 02:25:18.872 [http-nio-8080-exec-6] INFO  com.prakarti.Blog.project.controller.BlogController - Delete Blog request received: 65c9340c4afadc23a8ec780f
2024-02-12 23:41:52.581 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:41:52.652 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 8100 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:41:52.661 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:41:57.225 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:41:57.226 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:41:57.234 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2024-02-12 23:41:57.295 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 5.468 seconds (process running for 9.274)
2024-02-12 23:41:57.796 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:41:57.984 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [blogId is required parameter.]] ]
2024-02-12 23:41:58.003 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:41:58.004 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:42:41.388 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:42:41.455 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 21688 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:42:41.463 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:42:45.610 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:42:45.610 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:42:45.618 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 4 ms
2024-02-12 23:42:45.663 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 4.89 seconds (process running for 8.311)
2024-02-12 23:42:46.224 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:25.892 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:47:26.006 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 5320 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:47:26.014 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:47:32.855 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:47:32.855 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:47:32.875 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 9 ms
2024-02-12 23:47:32.975 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 10.232 seconds (process running for 29.027)
2024-02-12 23:47:33.837 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:34.106 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [blogId is required parameter.]] ]
2024-02-12 23:47:34.171 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:34.175 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:36.557 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:47:36.640 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 8980 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:47:36.647 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:47:54.401 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:47:54.403 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:47:54.435 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 12 ms
2024-02-12 23:47:54.844 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 19.575 seconds (process running for 24.758)
2024-02-12 23:47:57.614 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:58.231 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [blogId is required parameter.]] ]
2024-02-12 23:47:58.331 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:47:58.333 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:49:57.243 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:49:57.314 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 1680 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:49:57.320 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:50:01.344 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:50:01.345 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:50:01.352 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 3 ms
2024-02-12 23:50:01.398 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 4.863 seconds (process running for 11.588)
2024-02-12 23:50:01.917 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:50:02.067 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [blogId is required parameter.]] ]
2024-02-12 23:50:02.113 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:50:02.114 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:54:55.175 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-12 23:54:55.265 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 22924 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-12 23:54:55.277 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-12 23:55:03.083 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-12 23:55:03.085 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-12 23:55:03.115 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 12 ms
2024-02-12 23:55:03.315 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 8.749 seconds (process running for 11.507)
2024-02-12 23:55:05.752 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:55:06.463 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [blogId is required parameter.]] ]
2024-02-12 23:55:06.588 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-12 23:55:06.591 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-13 00:00:19.010 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 11704 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-13 00:00:19.162 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-13 00:00:19.558 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-13 00:00:47.482 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-13 00:00:47.483 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-13 00:00:47.511 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 11 ms
2024-02-13 00:00:47.692 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 32.905 seconds (process running for 44.458)
2024-02-13 00:00:49.644 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-13 00:00:50.434 [main] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.prakarti.Blog.project.model.DBResponseEntity> com.prakarti.Blog.project.controller.BlogController.updateBlogCall(com.prakarti.Blog.project.model.UpdateBlogRequest): [Field error in object 'updateBlogRequest' on field 'blogId': rejected value []; codes [NotBlank.updateBlogRequest.blogId,NotBlank.blogId,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [updateBlogRequest.blogId,blogId]; arguments []; default message [blogId]]; default message [Blog Id cannot be blank]] ]
2024-02-13 00:00:50.617 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Update Blog request received: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-13 00:00:50.618 [main] INFO  com.prakarti.Blog.project.controller.BlogController - Blog is Updated Successfully: UpdateBlogRequest(blogId=101, title=Title, description=Description, publish=true, userId=1001)
2024-02-13 00:04:47.651 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-13 00:04:47.725 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Starting BlogControllerTest using Java 21.0.1 with PID 12808 (started by praka in D:\spring-boot-project\Blog-project)
2024-02-13 00:04:47.734 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-02-13 00:04:51.643 [main] INFO  org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-02-13 00:04:51.644 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2024-02-13 00:04:51.656 [main] INFO  org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 6 ms
2024-02-13 00:04:51.721 [main] INFO  com.prakarti.Blog.project.controller.BlogControllerTest - Started BlogControllerTest in 4.83 seconds (process running for 7.665)
